id,name,album,artist,genre
6DMs043szjqp4U6k8igzCq,Thholyghst,✝✝✝ (Crosses),✝✝✝ (Crosses),"alternative metal, electronic rock"
2ZKK82kufztvFS3ZHWUrVq,When The Dreams Run Dry,Imploding The Mirage,The Killers,"modern rock, permanent wave, rock"
4uXDWsoGZXd39QP47NkGm5,Sleep On The Floor,Cleopatra (Deluxe),The Lumineers,"folk-pop, modern rock, stomp and holler"
3HNTLCpAGnizbyJmk7466r,Never Let Me Go,Ceremonials (Original Deluxe Version),Florence + The Machine,"baroque pop, pop, uk alternative pop"
6LU15UdRHvUnHW8OyEbxy3,No Sound but the Wind,Violence,Editors,"alternative dance, dance-punk, indie rock, modern rock, new rave, rock"
6vSY2O8TWgHP0oLPn5WhbH,Phoenix Rising,Set The World On Fire,Annihilator,"canadian metal, death metal, hard rock, metal, neo classical metal, old school thrash, power metal, rock, speed metal, technical groove metal, thrash metal"
4GuImyMa7CK3KkBGZN7QJj,Delusional,Delusional,BBS Paranoicos,"chilean hardcore, chilean rock, latincore, punk chileno, punk melodico chileno"
4YJlOOQ8l985zzb7KRaalD,El Sonido Se Agotó,Delusional,BBS Paranoicos,"chilean hardcore, chilean rock, latincore, punk chileno, punk melodico chileno"
2XIchtG6ZwS2QtWSghPtgT,Mis Demonios,Delusional,BBS Paranoicos,"chilean hardcore, chilean rock, latincore, punk chileno, punk melodico chileno"
7K9jakIwJqcEhUuslAvnkb,Un Clavo Menos,Bola Extra,Bonzo,"chilean metal, chilean rock, punk melodico chileno"
5mJyBzU8Rn3bpopAFtrPZX,Tilt!,Bola Extra,Bonzo,"chilean metal, chilean rock, punk melodico chileno"
2QvkkaSHFd3oHtM8KeWVNb,Escupí la Verdad,Bola Extra,Bonzo,"chilean metal, chilean rock, punk melodico chileno"
7xGfgYgr8s4XL7d6aLaQ3T,Golpe De Suerte,Turistas En El Paraíso,Inmigrantes,argentine alternative rock
7t5d2cYmcHYtswnSV0z8ie,Too Much Change,All Visible Objects,Moby,"downtempo, electronica"
7kT68GEEZ7o9W9dGz9zwl7,Tecie,All Visible Objects,Moby,"downtempo, electronica"
0covjwk535eie22wUQaOtH,All Visible Objects,All Visible Objects,Moby,"downtempo, electronica"
1Td7TGT1XtK2ojUjz1mGUV,Animals,Animals,Architects,"mathcore, melodic metalcore, metalcore, progressive metalcore, uk metalcore"
7o728Qvpn6Jc6cy6Z49LAO,Dusk,Dusk,System,no information
3aVyHFxRkf8lSjhWdJ68AW,Just Another Girl,Direct Hits,The Killers,"modern rock, permanent wave, rock"
2aZ2Co4NeQRsqWcU930zHT,Shot At The Night,Direct Hits,The Killers,"modern rock, permanent wave, rock"
3uZ2b2UyUqcTzSF0QR47aO,Sumarið sem aldrei kom,Shiver,Jónsi,"compositional ambient, icelandic pop, post-rock"
3XupqAQAoYnYVV8hBkTZ7G,Cannibal (with Elizabeth Fraser),Shiver,Jónsi,"compositional ambient, icelandic pop, post-rock"
2CuHYLGbHlamZLFMnR3hPP,Exhale,Shiver,Jónsi,"compositional ambient, icelandic pop, post-rock"
3lB0GMiI5KxDbTOG8V3bOx,waves - Tame Impala Remix,Rogue Waves,Miguel,"dance pop, hip hop, pop, r&b, urban contemporary"
64CGqiZ47yHjA1haK5ZbTx,Nocturnal,Nocturnal,The Midnight,"nightrun, popwave"
6P74cWuc5hPhCZB5yuSZsH,Minha galera,Clandestino,Manu Chao,"latin alternative, world"
1uqGSvSc207Zlgi4sGr9RQ,Time Stand Still,Hold Your Fire,Rush,"album rock, art rock, canadian metal, classic canadian rock, classic rock, hard rock, metal, progressive rock, rock"
7os53rdrgA0OU6xC5xJruX,concert for aliens,Tickets To My Downfall,Machine Gun Kelly,"ohio hip hop, pop rap"
1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),bloom,Machine Gun Kelly,"ohio hip hop, pop rap"
5WhRD87Q9qx388WdiIdQ0b,Pittura Infamante,Gore,Deftones,"alternative metal, alternative rock, nu metal, rap metal, rock, sacramento indie"
1Q0sk7b7PAGjgC3R5zyuWt,Pitseleh,XO,Elliott Smith,"alternative rock, indie folk, indie pop, indie rock, melancholia, singer-songwriter"
4xfAVJL8R7mVYbDk8a9xOY,Somebody That I Used To Know,Figure 8,Elliott Smith,"alternative rock, indie folk, indie pop, indie rock, melancholia, singer-songwriter"
2cP37n7TZEe0oBxCbZu0KA,New Slang,"Oh, Inverted World",The Shins,"albuquerque indie, alternative rock, indie folk, indie pop, indie rock, modern rock, portland indie, rock, stomp and holler"
7x46YkKAwp3yZpaa72n5Mu,Stubborn Love,The Lumineers (Deluxe Edition),The Lumineers,"folk-pop, modern rock, stomp and holler"
7yNsSWHrCAFGew4mLpjDrZ,Reckoning,Killswitch Engage (Special Edition),Killswitch Engage,"alternative metal, boston metal, melodic metalcore, metalcore, nu metal"
